bmrb,uniprot
5762,Q64512
6758,Q46669
7035,O43639
7249,P55769
16426,V9GX28
16737,Q9JZ10
18773,A0A0H3JZ23
16912,P12464
19356,Q7S3P5
16401,Q9NAV8
51087,Q5NE82
19715,P49333
51020,P51608
4386,P49799
25744,O07747
16272,A6B4U8
17490,P49960
4953,P47480
19007,Q01463
26760,M7WXJ8
26760,M7WXJ8
4267,P80188
4155,P51671
4527,P41789
4327,P01033
5518,P68436
5991,P27577
6838,P16897
7036,O43639
7432,P0ACD4
11080,O74049
4183,P0DJL7
15451,Q00422
15521,P23441
6024,P62594
17018,Q4VX54
17246,A0A0H2UNM7
17266,Q58AF3
17701,O34816
17783,P11557
17881,P62157
18257,P69853
18260,P07751
18306,Q9Y235
18380,Q72D78
18477,O30195
18772,Q6GFB4
19153,P11717
19189,P07148
19335,P13501
19151,P65367
25636,B9WZW9
18533,P9WIA1
26723,P09226
34089,P06224
30523,Q04LE4
36171,T1PZ86
27262,Q15633
50410,Q8YMJ3
50734,A0A2K3D6Z3
51230,P01053
36085,A0A247D711
50139,P00929
51832,P55075
4843,P35225
27643,Q13416
25473,P39081
26328,P27986
6346,O43157
385,P61824
1812,P0AA29
18005,Q16637
15490,P0AFG0
50219,P30958
50218,P03018
17615,P0AFW0
7276,O96870
18455,Q9UBZ9
26733,P53778
19731,P0A7D1
6311,O88838
15763,Q8N4Q1
51320,O43464
4092,Q08024
4735,P08523
5049,P48551 
15959,P35568
6332,P53141
